Song Title,Streams,Daily,Date
i wish i hated you,176470385,110682,2026-05-10
make up,176348620,33933,2026-05-10
Baby I,172797526,55225,2026-05-10
Popular,165436614,76606,2026-05-10
the light is coming (feat. Nicki Minaj),164317685,21149,2026-05-10
What Is This Feeling?,162138516,62997,2026-05-10
true story,157008522,87558,2026-05-10
imperfect for you,156081315,93459,2026-05-10
* Popular Song,153571456,30046,2026-05-10
* Met Him Last Night,150176054,31410,2026-05-10
"* Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",147736809,11062,2026-05-10
my hair,146576421,49978,2026-05-10
raindrops (an angel cried),145269074,21801,2026-05-10
Be My Baby,144954989,84006,2026-05-10
obvious,143632986,44935,2026-05-10
pete davidson,139077654,20190,2026-05-10
Right There,137394491,53308,2026-05-10
Winter Things,137149943,4864,2026-05-10
* Oh Santa! (feat. Ariana Grande & Jennifer Hudson),135491007,3350,2026-05-10
Why Try,134511084,33856,2026-05-10
get well soon,133482487,30274,2026-05-10
shut up,133042135,36406,2026-05-10
west side,127049896,52372,2026-05-10
Leave Me Lonely,126377115,35344,2026-05-10
test drive,122480116,29846,2026-05-10
Bad Decisions,120855365,32488,2026-05-10
"* Faith - From ""Sing"" Original Motion Picture Soundtrack",119637138,28568,2026-05-10
dandelion,117259509,115465,2026-05-10
Sometimes,116655983,41162,2026-05-10
six thirty,115526786,34906,2026-05-10
Knew Better / Forever Boy,115315352,33669,2026-05-10
love language,114379362,39106,2026-05-10
They Don't Know,113169065,17183,2026-05-10
intro (end of the world) - extended,110423757,143121,2026-05-10
Hampstead,104984585,164832,2026-05-10
* Sympathy is a knife featuring ariana grande,103249380,41561,2026-05-10
ordinary things (feat. Nonna),102568959,54986,2026-05-10
December,100127079,8086,2026-05-10
* Get On Your Knees,100022824,12838,2026-05-10
* Dancing Through Life,96972682,38467,2026-05-10
warm,96493898,99825,2026-05-10
Break Your Heart Right Back,95690697,16712,2026-05-10
Saturn Returns Interlude,91553086,42157,2026-05-10
borderline (feat. Missy Elliott),89989904,24544,2026-05-10
* No One Mourns the Wicked,89416758,30753,2026-05-10
past life,86707390,141013,2026-05-10
Just Look Up (From Don’t Look Up),85845744,7090,2026-05-10
* All My Love,84389231,14152,2026-05-10
Snow In California,80521997,1779,2026-05-10
Piano,79629187,13722,2026-05-10
Only 1,75794310,25861,2026-05-10
Bad To You (with Normani & Nicki Minaj),73990957,6305,2026-05-10
* Adore,73247676,20358,2026-05-10
worst behavior,72755370,30291,2026-05-10
blazed (feat. Pharrell Williams),72668919,13286,2026-05-10
