#,Artist,Listeners,Daily +/-,Peak,PkListeners
1192,LONOWN,10372767,11816,1141,10695882
1193,Cazzu,10366974,-33519,541,15540655
1194,Lupe Fiasco,10365031,-12315,1189,10442373
1195,American Authors,10361654,-41661,1078,10548983
1196,Jon,10361577,5750,1025,11150847
1197,KITSCHKRIEG,10359823,-58111,1166,10575175
1198,Lady A,10358681,-10605,878,10649698
1199,Meet Bros Anjjan,10353746,-17965,1123,10841408
1200,Tucker Wetmore,10344374,5591,1200,10344374
1201,Kany García,10341486,-67916,600,13949342
1202,Léo Foguete,10340250,-6906,568,15080414
1203,Lily Allen,10332841,-49965,627,15559692
1204,Melody,10331247,76621,720,14776765
1205,Sum 41,10331230,-16969,788,11437182
1206,George Strait,10327191,-21036,1052,10348227
1207,Piche Kota,10318558,7613,963,12164731
1208,Jessie Murph,10300374,-23852,462,18034844
1209,Jawad Ahmad,10295258,1612,935,12001368
1210,Becky Hill,10293498,-33464,257,20058164
1211,Mika Singh,10283428,-16734,958,11397193
1212,The Ronettes,10278989,129836,48,54867497
1213,Intocable,10270620,-44221,1139,10556063
1214,Alanis Morissette,10269094,13703,1063,10423774
1215,Robert Smith,10266662,-167293,885,12978124
1216,Bobby Pulido,10259876,-37737,1212,10297613
1217,Duke Dumont,10259233,-30408,1043,10513657
1218,Estelle,10257974,-28383,1082,11267841
1219,Kenny Loggins,10245825,-23214,718,10716636
1220,Far East Movement,10243410,-4869,1072,11194407
1221,La Quinta Estacion,10242566,7348,964,10574624
1222,Masego,10238787,-14792,733,11852173
1223,Jordan Davis,10229090,-11329,581,16992826
1224,Blood Orange,10220280,-23365,918,11703599
1225,Mc Poze do Rodo,10196638,-15272,1169,10338997
1226,Anand-Milind,10195532,-27393,985,11717658
1227,The Rare Occasions,10190635,-21676,1065,11453802
1228,Cameron Whitcomb,10178788,89826,1228,10178788
1229,Malive,10174810,16774,1229,10174810
1230,Oruam,10171061,-13215,613,13892210
1231,Pedro Capó,10167868,17063,634,11680899
1232,Fugees,10146357,-7240,925,12003464
1233,Dhanush,10143940,-4318,938,11519810
1234,Chris Jedi,10138961,-8175,736,11817178
1235,Javed Bashir,10135165,-4352,843,12331820
1236,Aaron Modesto,10132269,46623,1236,10132269
1237,The Hollies,10126004,-18962,1023,10984766
1238,YNW Melly,10124919,14,619,12098740
1239,Jesp7Tearz,10121123,-79727,1212,10276169
1240,Cup of Joe,10119530,-9350,904,11642079
1241,MC Joãozinho VT,10106717,-30689,1173,10493333
1242,La Adictiva,10101953,-25304,647,11844888
1243,Patrick Watson,10077888,111,666,13136966
1244,Bacilos,10077261,-30022,750,10937343
1245,Ely Oaks,10075918,9078,687,13861795
1246,Aretha Franklin,10075205,-688,475,17009365
1247,Ícaro e Gilmar,10072397,-25351,1118,10720872
1248,Gangsta,10066277,-30788,776,13793201
1249,KEVIN WOO,10063193,-28646,148,33181105
1250,Neckwav,10054973,-26094,149,33180332
1251,Danny Chung,10051346,-27275,147,33181848
1252,samUIL Lee,10049398,-29192,150,33166165
1253,Leona Lewis,10047679,-2088,295,23234916
1254,BIA,10046720,44724,672,11587632
1255,Ray Charles,10044489,-44471,849,11588192
1256,Thirty Seconds To Mars,10040462,-26626,874,10446001
1257,Zerb,10031910,-40912,369,18649657
1258,SOG,10026151,-36685,656,13624856
1259,2 Chainz,10022867,-17343,518,13825486
1260,Danilo e Davi,10005820,16978,1110,10173338
1261,Jarabe De Palo,10005055,-41175,848,11288754
1262,Pixies,10002536,-18542,778,10750034
1263,$uicideboy$,9993832,-14767,603,12765583
1264,Wham!,9990135,-30345,13,81641878
1265,Frankie Ruiz,9981187,-11973,1034,11093486
1266,Birdy,9979820,-41062,662,11832939
1267,FIFA Sound,9971862,-29345,880,13079377
1268,Trey Songz,9963003,-5225,1091,10059464
1269,Robyn,9961261,136245,1269,9961261
1270,NAV,9961202,-13475,203,24009796
1271,Kenshi Yonezu,9952420,-522,1022,10997543
1272,Like Mike,9949811,24131,519,15371036
1273,Banda Los Recoditos,9942932,-31894,1234,10148701
1274,Vanessa Carlton,9938555,60346,1191,10383044
1275,ILLENIUM,9938151,-31363,570,12528350
1276,MC Jvila,9936807,29018,976,11682205
1277,MC LUUKY,9925875,5067,739,12764479
1278,Santhosh Narayanan,9922506,-6127,943,10384118
1279,Suzanne D'Mello,9913429,2542,1182,9913429
1280,Caifanes,9904351,-4845,1147,9909196
1281,Of Monsters and Men,9897771,-20245,958,11195537
1282,The Stranglers,9891079,16550,890,12544458
1283,M.I.A.,9890106,-8919,799,11840863
1284,Sebastian Ingrosso,9889349,-21313,779,12991579
1285,Jeezy,9885708,36545,1285,9885708
1286,Cafuné,9884171,-23165,1019,10708451
1287,Nakash Aziz,9880642,-12790,819,12721900
1288,24kGoldn,9879142,-25391,393,15117675
1289,Mr. Probz,9879058,-47174,937,11131059
1290,Strawberry Guy,9869424,3068,1011,11387481
1291,Two Door Cinema Club,9861729,-24278,922,10284678
1292,Elevation Worship,9861331,20771,1109,10680615
1293,Humberto & Ronaldo,9859245,-13915,893,10581548
1294,Siddharth - Garima,9852784,-32158,549,14517947
1295,Jax Jones,9846188,-46785,354,17202952
1296,Ricardo Arjona,9840042,-30108,838,10709916
1297,Timmy Trumpet,9839129,6578,648,12643509
1298,Bleachers,9834864,12690,513,18378309
1299,João Gomes,9834829,-45763,791,11470871
1300,Ferrugem,9832071,16360,920,11959272
1301,Luan Pereira,9810428,-28331,488,16440555
1302,h6itam,9804766,-57431,1109,10958645
1303,HAVEN.,9804332,11672,916,12201667
1304,LUM!X,9801169,58136,830,9801169
1305,Antara Mitra,9798488,-6569,852,12384408
1306,Naresh Kamath,9789852,16609,1060,10903417
1307,BØRNS,9784765,-20568,820,10042261
1308,DFZM,9783459,-25927,359,20390668
1309,Miguel Bosé,9782626,-34454,653,11632240
1310,Lvbel C5,9782094,-3884,1210,10334896
1311,Prasoon Joshi,9777193,2663,1133,10453809
1312,Arko,9777083,59637,807,12369620
1313,Mc Jhey,9767667,4423,450,18841721
1314,Kahitna,9767331,50748,1314,9767331
1315,070 Shake,9767235,-3238,101,30903161
1316,Simple Plan,9749808,-5793,886,11590905
1317,Gur Sidhu,9745656,-16714,1162,10595274
1318,Pierce The Veil,9742522,-477,977,10908499
1319,Bappi Lahiri,9735987,-26957,951,12076602
1320,Whiskey Myers,9707087,-1356,1281,9885083
1321,iann dior,9706987,-25132,438,14436905
1322,Thundercat,9705290,-29113,447,14506297
1323,Nanpa Básico,9702749,-12899,761,12996531
1324,Sayfalse,9696028,-36811,526,17104132
1325,Kaitlin Aragon,9691149,8981,914,12207412
1326,Paresh Kamath,9686733,16087,1072,10800153
1327,Carrie Underwood,9670999,-41694,663,11844710
1328,Harshit Saxena,9664322,36823,1328,9664322
1329,Meet Bros.,9662823,-20262,1014,11244525
1330,Rita Ora,9660606,-4476,350,15748850
1331,Brandy,9647503,26790,880,10686420
1332,Simple Minds,9638796,-10820,937,9745879
1333,Skillibeng,9628338,-48519,237,25460164
1334,MC Kevin o Chris,9624409,-711,317,19054899
1335,Moby,9623865,-8258,1125,10801809
1336,MK,9610512,-30478,726,13599192
1337,Pesado,9610511,-25350,1156,10074906
1338,Budi Doremi,9605831,-15608,1236,10128557
1339,Benny Benassi,9594661,8886,896,9861640
1340,Feby Putri,9587108,12821,911,11349254
1341,D.O.D,9579590,-18816,1056,10233882
1342,Hugo & Guilherme,9571738,26699,706,12194388
1343,Panda Black,9567320,-4366,1201,10243012
1344,Sevdaliza,9561839,-17473,219,25431578
1345,Ofenbach,9557963,-36959,392,18344823
1346,Bronski Beat,9556192,-7742,1258,10020830
1347,Simon & Garfunkel,9551028,-9939,488,16424922
1348,Jeninho,9543973,21161,1348,9543973
1349,Guilherme & Benuto,9532079,43578,525,14877807
1350,La Mosca,9517040,172094,1350,9517040
1351,Lyodra,9516228,-49291,839,11343249
1352,Dan + Shay,9512461,-12385,388,18547976
1353,Cascada,9510860,8645,964,9772300
1354,Sujatha,9509350,-3039,1216,9726847
1355,SEKIMANE,9503081,10750,1352,9503081
1356,Stevie Nicks,9495288,36455,1033,10646401
1357,BUNT.,9486046,-11220,966,11027449
1358,KC & The Sunshine Band,9465164,-20510,1287,9734921
1359,Seether,9459837,-1845,1334,9577361
1360,Otis Redding,9437409,-35445,468,16801154
1361,Genesis,9434994,-12360,1096,10074977
1362,Novo Amor,9434869,295541,951,10491556
1363,MNEK,9434284,2518,451,13903326
1364,Virgoun,9433828,-18848,1133,10630882
1365,Gloria Gaynor,9428241,7632,1210,9725476
1366,Janet Jackson,9427901,-33296,1088,10813396
1367,Dj Honda,9419899,31959,1367,9419899
1368,Spandau Ballet,9414283,30083,1291,9857609
1369,Sanam Puri,9413543,33225,1369,9413543
1370,MC Leozinho ZS,9407009,-4616,1313,9802706
1371,Manan Bhardwaj,9398373,4753,247,24056763
1372,Seafret,9396023,-60052,480,12965413
1373,Blumengarten,9394340,-61139,1324,9642844
1374,Del The Funky Homosapien,9389660,-2986,821,12407555
1375,Neon Trees,9387149,-10814,1062,9704227
1376,Ludacris,9385219,-5213,1227,9492831
1377,Navaan Sandhu,9384885,-3729,1377,9388614
1378,Fat Joe,9380508,816,1089,9949187
1379,Eric Prydz,9380301,-5385,1204,9638866
1380,Remmy Valenzuela,9379351,-45678,1291,9863444
1381,Fireboy DML,9377726,-12696,778,10491359
1382,Imanbek,9370089,-14072,280,18669813
1383,Steve Miller Band,9368738,-40070,1032,9446287
1384,Nicky Youre,9363742,-19005,362,16422807
1385,INXS,9351437,-18302,798,10326929
1386,Masoom Sharma,9350805,-12692,851,12374121
1387,Route 94,9348745,-56612,1352,9494170
1388,Conjunto Primavera,9345907,-20401,1330,9606460
1389,Mohammed Irfan,9339536,8014,1108,9396722
1390,Vidyasagar,9336483,21404,1330,9713274
1391,Matt Sassari,9335057,4432,722,12242661
1392,Sophie Ellis-Bextor,9331636,-29553,226,23967750
1393,The Temptations,9327819,-66122,631,13625814
1394,Jorsshh,9323320,-12786,850,11868364
1395,Sidhu Moose Wala,9307576,-19479,637,11847588
1396,Nidji,9268974,3815,1271,9625867
1397,Imael Angel,9265212,170050,1397,9265212
1398,Clams Casino,9264724,13454,803,13593796
1399,UB40,9258148,-50413,975,10102238
1400,Grey,9253568,-13332,913,9761928
1401,Naughty Boy,9252217,-8293,459,17088739
1402,JR Torres,9243066,27131,1117,9891995
1403,Jaymes Young,9228818,922,530,13123344
1404,Los Bukis,9226721,-55489,997,11759921
1405,YUNGBLUD,9218675,-32611,922,11642023
1406,George Harrison,9216335,-22442,977,10292276
1407,S. Janaki,9216230,24523,1153,9937065
1408,CNCO,9215777,-24220,901,9555480
1409,Natanzinho Lima,9200109,50862,837,13479080
1410,Bakar,9198948,-56530,461,16733660
1411,La Santa Grifa,9192906,-14984,1295,9819811
1412,Edicion Especial,9190971,48375,1412,9190971
1413,Batas Senja,9178339,12922,925,11193360
1414,Carla Morrison,9177121,-32488,565,11635580
1415,Rico Ace,9173806,20367,680,15219424
1416,ScHoolboy Q,9169341,-3740,492,16556015
1417,The Red Clay Strays,9168617,-23536,1197,9908006
1418,Andrés Calamaro,9160692,-7788,1128,9792294
1419,Manuel Medrano,9160478,-28431,1044,10410819
1420,Rey Tony,9160447,35306,1420,9160447
1421,Felipe e Rodrigo,9160413,21660,1076,9753853
1422,Simply Red,9159912,9765,1106,10157244
1423,The Cars,9158506,-9239,1109,9287985
1424,Helabusador,9145621,35322,1424,9145621
1425,Alisha Chinai,9142242,5663,1075,10860025
1426,Tippu,9128519,17401,1368,9128519
1427,MC Nito,9125499,5568,792,13845894
1428,Current Joys,9123552,1467,1309,9300414
1429,Boy Wonder CF,9122695,84774,1429,9122695
1430,Purple Disco Machine,9118279,-35653,451,14934992
1431,Gryffin,9112516,-32637,654,10529526
1432,Ella Henderson,9109482,-19594,364,17142204
1433,X Ambassadors,9102343,-27923,398,14934403
1434,hey daisy,9090124,-21427,426,14690270
1435,Mani Sharma,9088190,-7148,1312,9204654
1436,Mc Pedrinho,9086743,-13756,766,10575967
1437,ATLXS,9085773,-23542,318,22084739
1438,Father John Misty,9085424,-28731,574,13624258
1439,Nina Simone,9084325,-21664,990,9794101
1440,Trap Capos,9084142,-6620,1266,9550449
1441,Belinda Carlisle,9081435,-26466,1429,9107901
1442,Arslan Nizami,9078322,3179,250,25758828
1443,Ghea Indrawari,9078267,68180,886,9641695
1444,L7NNON,9073699,-16731,583,12086026
1445,DENNIS,9073545,-4705,432,17466515
1446,Jamiroquai,9064237,-12505,1269,9829382
1447,Missy Elliott,9056163,-5679,622,11244503
1448,The Chemical Brothers,9054565,-45442,1258,10073457
1449,Cast of Mamma Mia! The Movie,9053168,16133,1404,9259271
1450,Stone Temple Pilots,9048714,8958,1371,9462894
1451,Mahalini,9043832,-26562,708,12445107
1452,Ella Mai,9043566,-9046,917,9628973
1453,Treaty Oak Revival,9029689,-6915,1400,9260773
1454,Chris Lake,9028543,-43087,815,11248545
1455,Iron Maiden,9024597,-9821,937,9798979
1456,Avvy Sra,9023742,14575,978,10349024
1457,Thalia,9020507,-28986,699,10663624
1458,Sam Barber,9005287,13303,821,12141359
1459,DJ Glenner,9004045,17170,721,12956235
1460,Ariel Camacho y Los Plebes Del Rancho,9000225,-14422,1426,9133248
1461,R. City,8977306,-39717,1043,10688170
1462,The Calling,8976543,24079,1141,9899787
1463,A-Trak,8966575,9417,1463,8966575
1464,Big Mountain,8951730,-11003,1426,8962733
1465,Ryan Lewis,8951421,-12887,181,27624928
1466,Shruti Haasan,8947907,-10978,1295,9809582
1467,GROUPLOVE,8946098,-37978,1096,9584851
1468,The Bausa,8941149,19334,1468,8941149
1469,Ya Ice Dilan,8938522,34639,1469,8938522
1470,JipMusic Global,8938019,34637,1470,8938019
1471,Alexandra Stan,8933507,-38831,1413,9160188
1472,Caralisa Monteiro,8931407,14839,695,10989184
1473,Melendi,8929125,-8431,1086,9563056
1474,Yahritza Y Su Esencia,8927464,2333,392,20665119
1475,Rag'n'Bone Man,8919999,-25325,475,16109002
1476,Maiara & Maraisa,8909876,-12967,622,13295151
1477,Yusuf / Cat Stevens,8908902,-65312,722,11465268
1478,Breaking Benjamin,8902889,396,1398,9383902
1479,Redbone,8900379,64168,647,13735798
1480,Thee Sacred Souls,8899511,3616,1299,9359736
1481,Natalie Imbruglia,8898997,27478,862,11016168
1482,M. M. Keeravaani,8892612,5041,1058,9001761
1483,Ja Rule,8884760,-7855,1266,9046377
1484,Luísa Sonza,8884574,5831,456,15591379
1485,Megan Moroney,8882805,9210,975,11007729
1486,Gera MX,8875368,-26009,706,11401409
1487,Richy Mitch & The Coal Miners,8865703,-11707,218,25801578
1488,Billy Ray Cyrus,8862082,-19415,1211,9149629
1489,Carlos Baute,8853869,-36567,1183,9356140
1490,Toploader,8851665,-10061,1043,9701746
1491,Harrdy Sandhu,8846453,-48322,1034,10235875
1492,Yasser Desai,8839240,-8490,827,9234988
1493,Arthur Nery,8836621,5128,1290,9324116
1494,Mc Menor Do Alvorada,8835472,-64133,761,10647877
1495,Matheus Fernandes,8833002,2254,678,12407534
1496,Mohammed Rafi,8831513,2173,1269,9455844
1497,Veigh,8830784,20209,794,10661265
1498,ENHYPEN,8819162,3064,861,11080262
1499,The Black Keys,8818637,6160,621,13313966
1500,Ivan Cornejo,8816871,-19196,998,10619615
1501,JACKBOYS,8810354,-34708,391,20357710
1502,New Order,8808641,1266,1257,8808641
1503,Pepe Aguilar,8803846,-81468,1141,9169601
1504,Riton,8799709,-14664,685,11432336
1505,Greeicy,8790223,-26664,1141,9909952
1506,Matchbox Twenty,8789596,3230,1116,8977189
1507,Montell Fish,8776489,2515,614,13623841
1508,Eve,8775634,-45013,1351,8944838
1509,Dasha,8754115,-12445,221,27379872
1510,Fenix Flexin,8746649,23681,1510,8746649
1511,Dexter and The Moonrocks,8746220,11898,1444,9089540
1512,Café Tacvba,8742032,-15670,1316,8812515
1513,Rawayana,8741735,-8408,1227,9670761
1514,Dewa 19,8732667,45581,1128,9294805
1515,fitterkarma,8727871,-8031,1277,9590917
1516,Pantera,8720596,-13974,1374,9113997
1517,Paul Simon,8719403,-29558,932,10025073
1518,Nas,8708837,-9624,547,13392042
1519,AR/CO,8704856,1057,1518,8704856
1520,Angel Y Khriz,8689432,41189,1240,8689432
1521,Filipe Ret,8681066,-2153,973,9751661
1522,MC PH,8676425,-2745,542,14958523
1523,Mc Morena,8671353,12802,1228,9646762
1524,Hiphop Tamizha,8659364,-1723,1237,9292507
1525,Prashant Pandey,8651565,-6472,764,11660260
1526,Massive Attack,8649679,-31296,1320,9383408
1527,Bombay Jayashri,8645391,58549,1527,8645391
1528,Diana Ross,8641185,-20891,516,18294959
1529,Ana Gabriel,8640154,-36249,911,11326664
1530,Sonder,8636384,1462,1385,9268631
1531,Eddie Santiago,8634605,-7442,1316,9067809
1532,Steely Dan,8631751,-27180,1488,8668370
1533,Mark Ambor,8626232,-493,134,35210214
1534,All Time Low,8617654,5929,1081,9932255
1535,Kevin Gates,8616900,-8186,1058,10451599
1536,Rauhan Malik,8615416,-8534,771,13152103
1537,Nico & Vinz,8614947,-52261,1391,9380932
1538,The Who,8614754,-28101,937,9119495
1539,Elderbrook,8610973,-20553,1057,9268049
1540,Her's,8609798,5239,1517,8644064
1541,Maanu,8609771,11483,713,13021766
1542,Peggy Gou,8606629,2987,215,23511011
1543,Gala,8605730,-7023,1420,8656632
1544,James Bay,8602927,-28510,571,12803948
1545,Cheema Y,8601234,-12680,1377,9407056
1546,Kid Rock,8594180,-27701,1249,9024344
1547,Dove Cameron,8591463,11849,367,15363797
1548,Mau y Ricky,8590309,-29854,489,12943019
1549,Colbie Caillat,8589459,4942,824,10144142
1550,Royel Otis,8586984,7391,792,12707316
1551,Annural Khalid,8584865,11094,716,12995740
1552,Los Temerarios,8583231,-26008,1081,9316924
1553,Sheryl Crow,8582993,10983,1054,9175986
1554,MC Willian,8579398,44399,1554,8579398
1555,Saindhavi,8567672,21453,1461,8567672
1556,Fiersa Besari,8563417,5209,1080,10066130
1557,Ayushmann Khurrana,8556968,-10221,1037,10092402
1558,Orochi,8539378,-9062,919,10501022
1559,IV OF SPADES,8531992,7082,1409,8670789
1560,Gopi Sundar,8530716,-14682,1401,9021145
1561,LATIN MAFIA,8525953,-1893,1009,10047675
1562,Laura Branigan,8516553,-12188,1348,9121418
1563,Na.Muthukumar,8516546,10012,1434,8516546
1564,Skylar Grey,8509397,-19384,741,12185951
1565,Hailee Steinfeld,8507998,4224,440,14217074
1566,Noor,8503550,-28766,1516,8675967
1567,Victor Valverde,8501960,-8967,824,11817587
1568,DJ Guh Mix,8500647,-153,1379,9016463
1569,George Benson,8496623,-9634,1460,8758880
1570,Sin Bandera,8469856,-7176,826,11035041
1571,LP,8468399,-31592,1369,9385239
1572,Sonny Fodera,8465541,-22551,1077,10297368
1573,Asake,8459087,2121,821,11630505
1574,Khan,8457893,-28115,1530,8623387
1575,Nightcrawlers,8455304,-23394,1172,8701724
1576,Joel Corry,8452032,-15656,301,18601830
1577,Ricky Montgomery,8449783,-9684,1010,10000931
1578,Emmanuel,8448266,-28013,1089,9493279
1579,Payal Dev,8446266,12002,559,13540518
1580,Chino & Nacho,8441803,-27690,1526,8647471
1581,Vacations,8441149,1877,808,11167410
1582,Ninho,8430117,-1964,1193,8484785
1583,Afsana Khan,8428919,-19723,1068,10966225
1584,Lil Jon,8422731,-12015,1172,9017195
1585,Lauana Prado,8413310,-3955,760,11452065
1586,Francesco Yates,8412914,-42091,1092,9410405
1587,Kelsea Ballerini,8406186,44197,649,10785406
1588,Los Auténticos Decadentes,8401723,-25895,1292,9042990
1589,Madhurxo,8393001,-28538,1544,8570248
1590,Chance the Rapper,8388990,-31806,623,10952938
1591,HARDY,8372773,-19300,800,11792487
1592,Vegedream,8362307,63277,1592,8362307
1593,David Bisbal,8354310,1743,954,9614542
1594,El Chapo De Sinaloa,8348516,-80811,1295,9101826
1595,Gregory Alan Isakov,8345448,-92,1236,9209458
1596,Nick Jonas,8344425,-4941,844,8943545
1597,Gerry Rafferty,8343387,-12226,1485,8911527
1598,HUMBE,8337332,-29826,787,11828118
1599,Koe Wetzel,8333107,-18981,1236,9087265
1600,Valentín Elizalde,8330756,-42346,1509,8373102
1601,Ian Cordova,8326638,-22400,1295,9348891
1602,Rocío Dúrcal,8325603,-48187,1103,10343452
1603,KAYTRANADA,8321094,-32409,894,10305443
1604,Nuca,8319339,19320,1604,8336506
1605,Corona,8315803,-23087,1596,8387465
1606,Eros Ramazzotti,8311739,-32921,967,11615427
1607,Tochi Raina,8305494,-20904,860,12343496
1608,R.K.M & Ken-Y,8301856,9954,1587,8395959
1609,Ricardo Montaner,8298784,-18214,1040,8787366
1610,Vijay Yesudas,8297581,-4944,1479,8306800
1611,Beastie Boys,8295120,-23312,776,10144142
1612,Charlie Brown Jr.,8295019,-536,1288,9497490
1613,LENCHO,8294836,-71146,1256,9858469
1614,D-Block Europe,8294625,-33343,227,23915073
1615,Ben&Ben,8290995,-26839,1296,9671837
1616,Stormzy,8289635,-23646,690,12387299
1617,Calle 13,8280531,-54106,1033,9761589
1618,H.E.R.,8277697,-9523,516,13009255
1619,MC Vine7,8254155,-39796,1502,8629752
1620,DJ Gu,8251390,-23780,1581,8320609
1621,Bruno & Marrone,8250079,6590,1153,9247530
1622,Miranda Lambert,8249178,-35420,847,10256405
1623,Alan Menken,8246818,21930,753,10625887
1624,Los Pleneros de la Cresta,8243272,-10329,613,16115455
1625,Jombriel,8238958,-1881,395,19174216
1626,Hearts2Hearts,8236767,-13106,1365,9169579
1627,El Fantasma,8232888,-14876,695,12208875
1628,Mark Morrison,8232736,8796,1329,8317180
1629,Franco De Vita,8232604,-42061,942,10292039
1630,Yovie & Nuno,8220005,-25600,1183,9324539
1631,Gigamesh,8208333,-24634,1366,9520712
1632,BLOK3,8207530,-4980,1198,10012838
1633,KEVIN ROLDAN,8206275,-21097,1028,8839765
1634,Los Invasores De Nuevo León,8195960,-57698,1498,8592762
1635,Ovi,8188413,-25524,1106,8618764
1636,John Mellencamp,8185566,-25115,1308,8214285
1637,Amir Ameer,8182310,-15983,755,13346030
1638,Marta Sánchez,8175665,-38288,1331,8486079
1639,Rajat Nagpal,8170260,-18710,794,10791944
1640,Vairamuthu,8170055,8926,1463,8201087
1641,Mansheel Gujral,8169715,45936,1622,8169715
1642,Boyz II Men,8165035,-2551,997,10287493
1643,Mc Magal,8153816,947,1603,8167923
1644,Dermot Kennedy,8152746,-12085,405,14690713
1645,Jet,8151002,-20709,1229,9183343
1646,MKTO,8149140,19684,831,11109215
1647,"Grover Washington, Jr.",8140278,-7401,1459,8944311
1648,Logic,8140230,-518,431,13970820
1649,rainy bear,8139978,-16962,1084,10887314
1650,Dhvani Bhanushali,8139481,-8775,665,11726344
1651,Dread Mar I,8138576,-27404,912,9900752
1652,Tiakola,8121263,11763,1230,8294476
1653,Randy Travis,8118842,13285,1653,8118842
1654,Mamta Sharma,8118389,11302,1547,8187610
1655,Luck Ra,8115397,9208,571,14861035
1656,SDM,8111607,-28567,1579,8227650
1657,Molella,8107806,-3660,1652,8156012
1658,Christopher Cross,8107099,-25605,1541,8709701
1659,Justin Prabhakaran,8104304,-5346,1388,8976161
1660,MC Hariel,8102780,-4258,810,11053901
1661,Cults,8100045,105,463,16570191
1662,Xamã,8098161,-2019,604,10846179
1663,¥$,8098093,-28657,106,34770239
1664,Ricchi E Poveri,8096981,-10910,1199,8252737
1665,Rick Astley,8096115,-61,1171,8922136
1666,Chris Rainbow,8094594,-42967,1628,8255906
1667,Loud Luxury,8094190,-4568,593,12238932
1668,Pablo Chill-E,8092269,-38484,999,9791126
1669,Skusta Clee,8091733,-8115,1410,9214806
1670,Estevan Plazola,8076657,-33268,1374,8962290
1671,Rosa Linn,8075681,-24773,213,22368082
1672,Sooraj Santhosh,8075316,112,1465,8737275
1673,The Jacksons,8075255,-63868,1011,11876122
1674,Falling In Reverse,8071312,-9988,1183,9168975
1675,The Proclaimers,8071105,-19227,1304,8109563
1676,Idina Menzel,8069960,1195,213,27851083
1677,Declan McKenna,8068948,-988,947,10097970
1678,Magic System,8051447,-12514,1610,8289586
1679,alt-J,8050947,-25438,843,10387663
1680,New Radicals,8050224,13131,1575,8453621
1681,Puddle Of Mudd,8042745,-3304,1681,8046049
1682,Julia Wolf,8037500,-2663,1242,9382480
1683,Hermanos Espinoza,8033882,-5161,1683,8039043
1684,Vierra,8032053,-21315,1198,9458072
1685,El Malilla,8029470,-22506,1142,9301048
1686,Dexys Midnight Runners,8022449,-411,1686,8022860
1687,PAWSA,8020524,-21941,969,10683613
1688,Moy Bobadilla,8015216,22284,1617,8263655
1689,Maggie Rogers,8014591,-8381,866,10798867
1690,keshi,8013837,681,504,13668403
1691,DJ GORDINHO DA VF,8012903,-6234,1590,8472399
1692,Los Gemelos De Sinaloa,8000443,-38219,1276,9816769
1693,Andmesh,8000348,-7794,818,11659415
1694,Salim Merchant,7999550,6338,1301,9227396
1695,Nakama,7987908,-27652,521,17212585
1696,MC Marks,7985657,-208,879,11413079
1697,BABYMONSTER,7983220,-35726,953,10072324
1698,Felipe Amorim,7982352,-46038,628,13305848
1699,Gloria Trevi,7981065,-41678,1232,8906302
1700,Shinedown,7980073,-15260,1441,8501068
1701,A Touch Of Class,7973109,47961,1445,7973109
1702,Ghost,7969205,-10265,778,10413273
1703,Alex G,7965520,-5516,978,10156874
1704,Shakthisree Gopalan,7955394,-7403,1206,8856298
1705,Chezile,7936179,-14904,417,17952523
1706,Forrest Frank,7929276,-8506,1136,9833748
1707,Yami Safdie,7926564,-43214,673,13185058
1708,Grupo Mojado,7924958,-51540,1613,8149383
1709,The Rish,7920358,23219,1442,8339371
1710,Queens of the Stone Age,7918159,48105,1037,8472804
1711,Panter Bélico,7916823,31475,1123,8609048
1712,Juhn,7914471,-38130,1634,8012698
1713,Alta Consigna,7910393,33498,1684,8112563
1714,Astrid,7908809,3541,1663,8125078
1715,Lasso,7907014,-29192,750,11949377
1716,Yuridia,7904096,-24835,569,11987029
1717,Cali Y El Dandee,7903856,48067,1004,8378982
1718,bbyclose,7903644,-40614,884,11671300
1719,Kevin Kaarl,7903235,-16955,1052,9485489
1720,Shiraz Uppal,7900378,7374,1045,11207867
1721,Lil Jon & The East Side Boyz,7896111,21211,1613,8320150
1722,Grupo Niche,7892946,-23650,1338,8886848
1723,Matuê,7892934,4685,920,10210578
1724,Deorro,7890076,-20816,952,9845311
1725,Etta James,7885919,-42990,708,12288355
1726,Rajesh Roshan,7883159,-16697,1445,8554386
1727,Ginuwine,7881135,3643,1343,8352923
1728,Chaka Khan,7880258,-28185,1529,8380841
1729,Damian Marley,7879143,-17379,1499,8033896
1730,Blackstreet,7873734,-8840,1504,8369763
1731,Varun Jain,7871726,22201,535,15576269
1732,Ken-Y,7867380,-7912,1318,8998716
1733,Ha*Ash,7858842,-5973,918,10568188
1734,MixSingh,7852865,-20925,1000,10856954
1735,DJ Javi26,7852415,-33585,753,13375159
1736,MC Cabelinho,7849638,-519,706,11710253
1737,Pranaay,7846589,19195,1735,7856913
1738,Sonique,7845956,-2843,1530,7917193
1739,Quality Control,7842727,-3266,1305,8810760
1740,Bhumi,7836270,26271,1423,8650361
1741,Ashanti,7835170,15425,1326,7835170
1742,Aqua,7830501,2746,61,41819994
1743,The Kinks,7827387,-25562,1256,7996887
1744,León Larregui,7826169,-4372,1295,8422332
1745,Avery Anna,7810101,590,1041,9870680
1746,fakemink,7807349,31240,1317,9219648
1747,AKDO,7805744,-13860,1613,8401597
1748,Mitta Ror,7797100,-53347,863,13094478
1749,Turma do Pagode,7796996,15950,798,13990395
1750,Iggy Azalea,7794696,-11501,1020,8438713
